16	SAM68TV1	0.0665800865800866
3	ESRP2	0.25108225108225113
19	SF3BTV2	0.3181818181818182
12	RBM17	0.3333333333333333
9	PSF	0.34307359307359314
14	RBM3	0.34632034632034625
1	CUGBP	0.3917748917748917
17	SC35	0.3939393939393939
15	RBM45	0.408008658008658
23	SRSF1	0.4156277056277055
43	U6ATAC	0.42861471861471856
34	U11	0.45779220779220775
41	U5	0.472943722943723
8	PRP8	0.4826839826839827
11	RAVER1	0.4924242424242425
13	RBM22	0.5227272727272728
31	TRA2A	0.5454545454545455
10	PTB	0.5584415584415584
18	SF3BTV1	0.5584415584415584
42	U6	0.5692640692640694
36	U2	0.5746753246753247
5	MAGOH	0.5909090909090909
20	SKIP	0.6017316017316018
32	TRA2B	0.6103896103896105
38	U2AF2	0.6125541125541126
4	FBP11	0.6309523809523808
33	U1	0.6385281385281385
37	U2AF1	0.6547619047619049
26	SRSF4	0.6645021645021646
6	NOVA1	0.6677489177489176
29	SRSF9	0.6861471861471861
39	U4	0.6861471861471861
35	U12	0.6872294372294372
22	SRM160	0.7067099567099566
0	CA150	0.7072294372294372
40	U4ATAC	0.7121212121212122
24	SRSF10	0.7272727272727272
2	ESRP1	0.7326839826839828
25	SRSF3	0.7402597402597403
7	nSR100	0.7922077922077921
27	SRSF5	0.7965367965367964
30	TIA1	0.7976190476190477
21	SND1	0.8452380952380952
28	SRSF6	0.8993506493506496
