pred,obs,N,S,rowIndex,C,M,Resample
S,N,0.378048780487805,0.621951219512195,24,0.5,1,Fold01.Rep1
S,N,0.378048780487805,0.621951219512195,28,0.5,1,Fold01.Rep1
S,N,0.378048780487805,0.621951219512195,37,0.5,1,Fold01.Rep1
N,N,0.627450980392157,0.372549019607843,57,0.5,1,Fold01.Rep1
N,N,0.627450980392157,0.372549019607843,58,0.5,1,Fold01.Rep1
N,N,0.627450980392157,0.372549019607843,59,0.5,1,Fold01.Rep1
N,N,0.627450980392157,0.372549019607843,62,0.5,1,Fold01.Rep1
N,N,0.627450980392157,0.372549019607843,79,0.5,1,Fold01.Rep1
N,N,0.627450980392157,0.372549019607843,88,0.5,1,Fold01.Rep1
S,N,0.378048780487805,0.621951219512195,90,0.5,1,Fold01.Rep1
N,N,0.627450980392157,0.372549019607843,99,0.5,1,Fold01.Rep1
N,S,0.627450980392157,0.372549019607843,116,0.5,1,Fold01.Rep1
N,S,0.627450980392157,0.372549019607843,127,0.5,1,Fold01.Rep1
N,S,0.627450980392157,0.372549019607843,131,0.5,1,Fold01.Rep1
N,S,0.627450980392157,0.372549019607843,153,0.5,1,Fold01.Rep1
S,S,0.378048780487805,0.621951219512195,162,0.5,1,Fold01.Rep1
N,S,0.627450980392157,0.372549019607843,165,0.5,1,Fold01.Rep1
S,S,0.378048780487805,0.621951219512195,186,0.5,1,Fold01.Rep1
S,S,0.378048780487805,0.621951219512195,197,0.5,1,Fold01.Rep1
S,S,0.378048780487805,0.621951219512195,198,0.5,1,Fold01.Rep1
S,S,0.378048780487805,0.621951219512195,201,0.5,1,Fold01.Rep1
N,N,0.619047619047619,0.380952380952381,13,0.5,1,Fold02.Rep1
S,N,0.3875,0.6125,14,0.5,1,Fold02.Rep1
S,N,0.3875,0.6125,17,0.5,1,Fold02.Rep1
S,N,0.3875,0.6125,20,0.5,1,Fold02.Rep1
N,N,0.619047619047619,0.380952380952381,36,0.5,1,Fold02.Rep1
N,N,0.619047619047619,0.380952380952381,61,0.5,1,Fold02.Rep1
N,N,0.619047619047619,0.380952380952381,73,0.5,1,Fold02.Rep1
N,N,0.619047619047619,0.380952380952381,84,0.5,1,Fold02.Rep1
S,N,0.3875,0.6125,100,0.5,1,Fold02.Rep1
N,N,0.619047619047619,0.380952380952381,106,0.5,1,Fold02.Rep1
S,S,0.3875,0.6125,126,0.5,1,Fold02.Rep1
S,S,0.3875,0.6125,133,0.5,1,Fold02.Rep1
N,S,0.619047619047619,0.380952380952381,134,0.5,1,Fold02.Rep1
S,S,0.3875,0.6125,158,0.5,1,Fold02.Rep1
S,S,0.3875,0.6125,163,0.5,1,Fold02.Rep1
N,S,0.619047619047619,0.380952380952381,172,0.5,1,Fold02.Rep1
S,S,0.3875,0.6125,180,0.5,1,Fold02.Rep1
S,S,0.3875,0.6125,181,0.5,1,Fold02.Rep1
S,S,0.3875,0.6125,187,0.5,1,Fold02.Rep1
N,S,0.619047619047619,0.380952380952381,190,0.5,1,Fold02.Rep1
N,N,0.640776699029126,0.359223300970874,1,0.5,1,Fold03.Rep1
S,N,0.358024691358025,0.641975308641975,15,0.5,1,Fold03.Rep1
S,N,0.358024691358025,0.641975308641975,18,0.5,1,Fold03.Rep1
N,N,0.640776699029126,0.359223300970874,66,0.5,1,Fold03.Rep1
N,N,0.640776699029126,0.359223300970874,67,0.5,1,Fold03.Rep1
S,N,0.358024691358025,0.641975308641975,76,0.5,1,Fold03.Rep1
S,N,0.358024691358025,0.641975308641975,78,0.5,1,Fold03.Rep1
S,N,0.358024691358025,0.641975308641975,85,0.5,1,Fold03.Rep1
S,N,0.358024691358025,0.641975308641975,89,0.5,1,Fold03.Rep1
N,N,0.640776699029126,0.359223300970874,93,0.5,1,Fold03.Rep1
N,N,0.640776699029126,0.359223300970874,98,0.5,1,Fold03.Rep1
N,S,0.640776699029126,0.359223300970874,117,0.5,1,Fold03.Rep1
S,S,0.358024691358025,0.641975308641975,140,0.5,1,Fold03.Rep1
N,S,0.640776699029126,0.359223300970874,147,0.5,1,Fold03.Rep1
N,S,0.640776699029126,0.359223300970874,161,0.5,1,Fold03.Rep1
N,S,0.640776699029126,0.359223300970874,164,0.5,1,Fold03.Rep1
S,S,0.358024691358025,0.641975308641975,169,0.5,1,Fold03.Rep1
S,S,0.358024691358025,0.641975308641975,183,0.5,1,Fold03.Rep1
S,S,0.358024691358025,0.641975308641975,193,0.5,1,Fold03.Rep1
N,S,0.640776699029126,0.359223300970874,199,0.5,1,Fold03.Rep1
N,S,0.640776699029126,0.359223300970874,204,0.5,1,Fold03.Rep1
N,N,0.621359223300971,0.378640776699029,4,0.5,1,Fold04.Rep1
N,N,0.621359223300971,0.378640776699029,8,0.5,1,Fold04.Rep1
S,N,0.382716049382716,0.617283950617284,26,0.5,1,Fold04.Rep1
N,N,0.621359223300971,0.378640776699029,27,0.5,1,Fold04.Rep1
S,N,0.382716049382716,0.617283950617284,29,0.5,1,Fold04.Rep1
N,N,0.621359223300971,0.378640776699029,32,0.5,1,Fold04.Rep1
S,N,0.382716049382716,0.617283950617284,35,0.5,1,Fold04.Rep1
