pred,obs,N,S,rowIndex,C,M,Resample
N,N,0.64367816091954,0.35632183908046,9,0.01,1,Fold01.Rep1
N,N,0.64367816091954,0.35632183908046,31,0.01,1,Fold01.Rep1
N,N,0.64367816091954,0.35632183908046,42,0.01,1,Fold01.Rep1
N,N,0.64367816091954,0.35632183908046,47,0.01,1,Fold01.Rep1
S,N,0.402061855670103,0.597938144329897,54,0.01,1,Fold01.Rep1
S,N,0.402061855670103,0.597938144329897,69,0.01,1,Fold01.Rep1
S,N,0.402061855670103,0.597938144329897,83,0.01,1,Fold01.Rep1
S,N,0.402061855670103,0.597938144329897,84,0.01,1,Fold01.Rep1
S,N,0.402061855670103,0.597938144329897,89,0.01,1,Fold01.Rep1
S,N,0.402061855670103,0.597938144329897,99,0.01,1,Fold01.Rep1
N,N,0.64367816091954,0.35632183908046,103,0.01,1,Fold01.Rep1
S,S,0.402061855670103,0.597938144329897,113,0.01,1,Fold01.Rep1
S,S,0.402061855670103,0.597938144329897,117,0.01,1,Fold01.Rep1
S,S,0.402061855670103,0.597938144329897,118,0.01,1,Fold01.Rep1
N,S,0.64367816091954,0.35632183908046,131,0.01,1,Fold01.Rep1
S,S,0.402061855670103,0.597938144329897,135,0.01,1,Fold01.Rep1
N,S,0.64367816091954,0.35632183908046,151,0.01,1,Fold01.Rep1
N,S,0.64367816091954,0.35632183908046,177,0.01,1,Fold01.Rep1
S,S,0.402061855670103,0.597938144329897,180,0.01,1,Fold01.Rep1
S,S,0.402061855670103,0.597938144329897,188,0.01,1,Fold01.Rep1
N,S,0.64367816091954,0.35632183908046,199,0.01,1,Fold01.Rep1
S,N,0.378048780487805,0.621951219512195,5,0.01,1,Fold02.Rep1
N,N,0.631067961165049,0.368932038834951,19,0.01,1,Fold02.Rep1
S,N,0.378048780487805,0.621951219512195,29,0.01,1,Fold02.Rep1
N,N,0.631067961165049,0.368932038834951,41,0.01,1,Fold02.Rep1
N,N,0.631067961165049,0.368932038834951,55,0.01,1,Fold02.Rep1
N,N,0.631067961165049,0.368932038834951,66,0.01,1,Fold02.Rep1
N,N,0.631067961165049,0.368932038834951,79,0.01,1,Fold02.Rep1
N,N,0.631067961165049,0.368932038834951,82,0.01,1,Fold02.Rep1
S,N,0.378048780487805,0.621951219512195,87,0.01,1,Fold02.Rep1
S,N,0.378048780487805,0.621951219512195,100,0.01,1,Fold02.Rep1
N,S,0.631067961165049,0.368932038834951,108,0.01,1,Fold02.Rep1
N,S,0.631067961165049,0.368932038834951,112,0.01,1,Fold02.Rep1
S,S,0.378048780487805,0.621951219512195,141,0.01,1,Fold02.Rep1
