class,N,T
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
N,1,0
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
T,0,1
