pred,obs,N,S,rowIndex,C,M,Resample
N,S,0.513513513513513,0.486486486486487,144,0.01,1,Fold04.Rep1
N,S,0.513513513513513,0.486486486486487,148,0.01,1,Fold04.Rep1
N,S,0.513513513513513,0.486486486486487,153,0.01,1,Fold04.Rep1
N,S,0.513513513513513,0.486486486486487,171,0.01,1,Fold04.Rep1
N,S,0.513513513513513,0.486486486486487,179,0.01,1,Fold04.Rep1
N,S,0.513513513513513,0.486486486486487,183,0.01,1,Fold04.Rep1
N,S,0.513513513513513,0.486486486486487,186,0.01,1,Fold04.Rep1
N,S,0.513513513513513,0.486486486486487,188,0.01,1,Fold04.Rep1
N,S,0.513513513513513,0.486486486486487,198,0.01,1,Fold04.Rep1
S,N,0.462121212121212,0.537878787878788,5,0.01,1,Fold05.Rep1
S,N,0.462121212121212,0.537878787878788,11,0.01,1,Fold05.Rep1
S,N,0.462121212121212,0.537878787878788,34,0.01,1,Fold05.Rep1
S,N,0.462121212121212,0.537878787878788,47,0.01,1,Fold05.Rep1
S,N,0.462121212121212,0.537878787878788,52,0.01,1,Fold05.Rep1
S,N,0.462121212121212,0.537878787878788,67,0.01,1,Fold05.Rep1
S,N,0.462121212121212,0.537878787878788,68,0.01,1,Fold05.Rep1
S,N,0.462121212121212,0.537878787878788,74,0.01,1,Fold05.Rep1
S,N,0.462121212121212,0.537878787878788,101,0.01,1,Fold05.Rep1
S,N,0.462121212121212,0.537878787878788,106,0.01,1,Fold05.Rep1
N,S,0.660377358490566,0.339622641509434,112,0.01,1,Fold05.Rep1
S,S,0.462121212121212,0.537878787878788,138,0.01,1,Fold05.Rep1
S,S,0.462121212121212,0.537878787878788,150,0.01,1,Fold05.Rep1
S,S,0.462121212121212,0.537878787878788,159,0.01,1,Fold05.Rep1
N,S,0.660377358490566,0.339622641509434,160,0.01,1,Fold05.Rep1
N,S,0.660377358490566,0.339622641509434,161,0.01,1,Fold05.Rep1
S,S,0.462121212121212,0.537878787878788,163,0.01,1,Fold05.Rep1
S,S,0.462121212121212,0.537878787878788,172,0.01,1,Fold05.Rep1
S,S,0.462121212121212,0.537878787878788,180,0.01,1,Fold05.Rep1
S,S,0.462121212121212,0.537878787878788,200,0.01,1,Fold05.Rep1
N,N,0.516304347826087,0.483695652173913,20,0.01,1,Fold06.Rep1
N,N,0.516304347826087,0.483695652173913,31,0.01,1,Fold06.Rep1
N,N,0.516304347826087,0.483695652173913,35,0.01,1,Fold06.Rep1
N,N,0.516304347826087,0.483695652173913,36,0.01,1,Fold06.Rep1
N,N,0.516304347826087,0.483695652173913,38,0.01,1,Fold06.Rep1
N,N,0.516304347826087,0.483695652173913,54,0.01,1,Fold06.Rep1
N,N,0.516304347826087,0.483695652173913,55,0.01,1,Fold06.Rep1
N,N,0.516304347826087,0.483695652173913,60,0.01,1,Fold06.Rep1
N,N,0.516304347826087,0.483695652173913,63,0.01,1,Fold06.Rep1
N,N,0.516304347826087,0.483695652173913,87,0.01,1,Fold06.Rep1
N,N,0.516304347826087,0.483695652173913,99,0.01,1,Fold06.Rep1
N,S,0.516304347826087,0.483695652173913,117,0.01,1,Fold06.Rep1
N,S,0.516304347826087,0.483695652173913,118,0.01,1,Fold06.Rep1
N,S,0.516304347826087,0.483695652173913,130,0.01,1,Fold06.Rep1
N,S,0.516304347826087,0.483695652173913,136,0.01,1,Fold06.Rep1
N,S,0.516304347826087,0.483695652173913,151,0.01,1,Fold06.Rep1
N,S,0.516304347826087,0.483695652173913,157,0.01,1,Fold06.Rep1
N,S,0.516304347826087,0.483695652173913,175,0.01,1,Fold06.Rep1
N,S,0.516304347826087,0.483695652173913,182,0.01,1,Fold06.Rep1
N,S,0.516304347826087,0.483695652173913,185,0.01,1,Fold06.Rep1
N,S,0.516304347826087,0.483695652173913,189,0.01,1,Fold06.Rep1
N,N,0.516304347826087,0.483695652173913,8,0.01,1,Fold07.Rep1
N,N,0.516304347826087,0.483695652173913,13,0.01,1,Fold07.Rep1
N,N,0.516304347826087,0.483695652173913,15,0.01,1,Fold07.Rep1
N,N,0.516304347826087,0.483695652173913,26,0.01,1,Fold07.Rep1
N,N,0.516304347826087,0.483695652173913,40,0.01,1,Fold07.Rep1
N,N,0.516304347826087,0.483695652173913,76,0.01,1,Fold07.Rep1
N,N,0.516304347826087,0.483695652173913,77,0.01,1,Fold07.Rep1
N,N,0.516304347826087,0.483695652173913,86,0.01,1,Fold07.Rep1
N,N,0.516304347826087,0.483695652173913,90,0.01,1,Fold07.Rep1
