"Index","Var","Importance"
5,"HNRNPA1",1.81973094773239
32,"RNU12",1.74694170982309
12,"MAGOH",1.69841555121689
49,"SRSF3",1.6741524719138
24,"RBM25",1.6498893926107
22,"RBM17",1.6256263133076
25,"RBM3",1.5528370753983
48,"SRSF10",1.5528370753983
29,"RBM5",1.5285739960952
11,"KHDRBS1",1.5285739960952
46,"SRPK1",1.5285739960952
19,"PTBP1",1.50431091679211
35,"RNU4ATAC",1.50431091679211
57,"TRA2B",1.50431091679211
54,"TCERG1",1.43152167888281
58,"U2AF1",1.40725859957971
7,"HNRNPA3",1.26168012376112
31,"RNU11",1.16462780654873
39,"SC35",1.16462780654873
9,"HNRNPG",1.14036472724563
1,"CUGBP",1.06757548933633
2,"EIF4A3",1.04331241003323
10,"HNRNPK",0.994786251427038
16,"PRP19",0.897733934214644
13,"MBNL1",0.873470854911545
38,"RNU6ATAC",0.873470854911545
56,"TRA2A",0.873470854911545
42,"SF3B2",0.849207775608447
40,"SF3BTV1",0.80068161700225
41,"SF3BTV2",0.80068161700225
